epoch,train_objective,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
1,1.2890692761767029,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
2,0.60225862546203712,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
3,0.39174334657868271,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
4,0.31456743153036293,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
5,0.27222314465197955,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
6,0.25051500517019037,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
7,0.23677988287488055,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
8,0.22259861137225467,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
9,0.20660249103416189,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
10,0.19983553274362248,0.018272522415854146,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
11,0.18840324068438591,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
12,0.18752848618085763,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
13,0.17690584956675789,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
14,0.16897716187314285,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
15,0.16991383253856046,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
16,0.17707477214275422,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
17,0.16716427601776054,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
18,0.15706401755883856,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
19,0.15246696548670921,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
20,0.14374649313243343,0.015128656531859958,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
21,0.14535346738233304,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
22,0.1516813997625571,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
23,0.15286599047584587,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
24,0.13065377007709664,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
25,0.15091700824507445,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
26,0.14204104227250963,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
27,0.15151302233480329,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
28,0.13455308249178136,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
29,0.13328430150975917,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
30,0.14230703936206349,0.01257192007775217,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
31,0.1374594109876042,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
32,0.13850654325885106,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
33,0.12947607826459187,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
34,0.13848467115279275,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
35,0.13732033976336766,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
36,0.13173692158296335,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
37,0.13719548357828615,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
38,0.12490546276244688,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
39,0.14337040941240464,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
40,0.13090723759208056,0.013215082135109016,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
41,0.13153464350622504,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
42,0.12285810605304236,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
43,0.13377450401592458,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
44,0.13088309106177207,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
45,0.13469274890643412,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
46,0.12710670642891014,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
47,0.13293280880904182,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
48,0.12113634705337011,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
49,0.12459054729139757,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
50,0.12394793556684208,0.011268722097326767,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
51,0.13213801720056664,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
52,0.11827855052787846,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
53,0.11446297152258625,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
54,0.13441204101089754,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
55,0.12593440958984836,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
56,0.12328293181536006,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
57,0.11764877132457843,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
58,0.12595633443147433,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
59,0.11899477079915552,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
60,0.12381296194335792,0.013710265727916239,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
61,0.12604867223981844,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
62,0.11966997067001461,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
63,0.12815283525909721,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
64,0.11561163648912706,,1371,22,9.9999997473787516e-06,9.9999997473787516e-06
