epoch,layer_index,layer_name,parameter_scope,mean_pre_update_norm,mean_update_norm,mean_ratio,rms_ratio,maximum_ratio,last_ratio,near_zero_denominator_steps,optimizer_steps,epsilon
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4325617454226827,0.010880184649839485,0.0075931195002575261,0.0077127117742935196,0.010049376270302383,0.0066164332072448599,0,6,9.9999999999999998e-13
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.4325516781918666,0.010656403171664689,0.0074369398549649652,0.0075577784570666105,0.0098542244052415209,0.0064320005408265253,0,6,9.9999999999999998e-13
1,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.004564292017212976,0.0021776698150286701,471404516.10634017,1154700526.0121689,2828427094.4531479,0.25414462825434386,1,6,9.9999999999999998e-13
1,4,"DenseLayer( 7202,128 )","all",15.945668993772113,0.53495992348621468,0.033591122180516901,0.03641454277652903,0.060475480162956501,0.019797553376831759,0,6,9.9999999999999998e-13
1,4,"DenseLayer( 7202,128 )","weights",15.945658741268222,0.53492218789580726,0.033588768266805291,0.03641197979504824,0.060471278929220898,0.01979626567772955,0,6,9.9999999999999998e-13
1,4,"DenseLayer( 7202,128 )","biases",0.015954605841190902,0.0063528736907261718,1885613031.6122909,4618789779.1124687,11313678188.007772,0.1407418221624484,1,6,9.9999999999999998e-13
1,6,"DenseLayer( 128,64 )","all",9.2184518219712501,0.050192786722313115,0.005444446892079847,0.0059317931908209305,0.0098530601696672129,0.0033859073663565684,0,6,9.9999999999999998e-13
1,6,"DenseLayer( 128,64 )","weights",9.2184449738074346,0.050031743404238715,0.005426981570748334,0.0059118808063007731,0.0098147837606761094,0.0033796435050076961,0,6,9.9999999999999998e-13
1,6,"DenseLayer( 128,64 )","biases",0.0099135423269670776,0.0039864858219933984,1333327874.9251957,3265972952.757122,7999967247.9858599,0.11758718309839747,1,6,9.9999999999999998e-13
1,8,"DenseLayer( 64,1 )","all",1.4511343782788506,0.0042060279193858116,0.0028967646631590624,0.0032054042361642503,0.0055458408655050572,0.0017228138260822394,0,6,9.9999999999999998e-13
1,8,"DenseLayer( 64,1 )","weights",1.4511338194814907,0.0041872462033834996,0.0028838332033687599,0.0031887849187196989,0.0055030150752632722,0.0017184937141274102,0,6,9.9999999999999998e-13
1,8,"DenseLayer( 64,1 )","biases",0.0011241549218539149,0.00034521991619840264,166666674.73081926,408248309.85461634,1000000047.4974513,0.098700865101067251,1,6,9.9999999999999998e-13
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4254591355800321,0.0067665760729529898,0.0047462348761241561,0.0048023896797886323,0.0061848482360550017,0.0039324819437670426,0,6,9.9999999999999998e-13
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.4253765820381845,0.0065659633761514019,0.0046057736024401668,0.0046607132536695866,0.0060120221311095101,0.0038225437053260834,0,6,9.9999999999999998e-13
2,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.015081345002514743,0.0016347869355501964,0.11571202080131338,0.12269017969641906,0.19238694146386912,0.069239221838449133,0,6,9.9999999999999998e-13
2,4,"DenseLayer( 7202,128 )","all",16.131683722625819,0.23598468652344773,0.014636340935400092,0.014838613843519591,0.018894616536895951,0.012032921518005262,0,6,9.9999999999999998e-13
2,4,"DenseLayer( 7202,128 )","weights",16.131648394947835,0.23597013102411554,0.014635469134914033,0.014837724082383302,0.018893428344979729,0.012032250088565285,0,6,9.9999999999999998e-13
2,4,"DenseLayer( 7202,128 )","biases",0.033606233918314958,0.0026206333105167367,0.080200633308328148,0.083426368366989648,0.12106642832840138,0.055259144999673465,0,6,9.9999999999999998e-13
2,6,"DenseLayer( 128,64 )","all",9.2127836054937422,0.022897055795850368,0.0024852770725085475,0.0025640956503464687,0.003536128557959171,0.0019029308299575881,0,6,9.9999999999999998e-13
2,6,"DenseLayer( 128,64 )","weights",9.2127654215351651,0.022851083991954603,0.0024802919552775922,0.0025590076405946961,0.0035293892617274838,0.0018987738707730768,0,6,9.9999999999999998e-13
2,6,"DenseLayer( 128,64 )","biases",0.018267110439600817,0.0014497654135631113,0.080721079293284675,0.084086405489810209,0.11987746961439757,0.057577676204914705,0,6,9.9999999999999998e-13
2,8,"DenseLayer( 64,1 )","all",1.4462479871227372,0.0019933779660618249,0.0013781429664517374,0.0014282995136086448,0.002021571301414346,0.0012611845208520527,0,6,9.9999999999999998e-13
2,8,"DenseLayer( 64,1 )","weights",1.4462475332425775,0.0019817032680240539,0.001370072261131128,0.0014193902622244418,0.0020076198467201298,0.0012518560850601434,0,6,9.9999999999999998e-13
2,8,"DenseLayer( 64,1 )","biases",0.0011154024784142773,0.00020915178659682473,0.17930692397481635,0.1880350043648584,0.24375712808911371,0.20096042355406199,0,6,9.9999999999999998e-13
3,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4216597347407713,0.0040928410714734841,0.0028787637818607609,0.0028939053346156815,0.0034630492434022837,0.0025737287860887032,0,6,9.9999999999999998e-13
3,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.421471509321881,0.003954956016462426,0.0027821410194379275,0.0027973920601511914,0.0033627170608544845,0.0024914724485613506,0,6,9.9999999999999998e-13
3,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.023060709294118104,0.0010524049343419478,0.046206431258630005,0.046774242447703888,0.058049565884468073,0.035845890714408267,0,6,9.9999999999999998e-13
3,4,"DenseLayer( 7202,128 )","all",16.29848336089497,0.14090081767578078,0.0086474285243775626,0.0087069169627889322,0.010610618868989086,0.0073242646494798133,0,6,9.9999999999999998e-13
3,4,"DenseLayer( 7202,128 )","weights",16.298427008573764,0.14089316727485962,0.008646988538282838,0.0087064707638697478,0.010610028347724723,0.007323912958856431,0,6,9.9999999999999998e-13
3,4,"DenseLayer( 7202,128 )","biases",0.042818252612423148,0.0014676423053745528,0.034570992142246869,0.035192142595731356,0.046967956799871174,0.026804263998806352,0,6,9.9999999999999998e-13
3,6,"DenseLayer( 128,64 )","all",9.210395221501626,0.013477178125746231,0.0014632554700743678,0.0014676155634770175,0.001651891231774712,0.0013294972830796092,0,6,9.9999999999999998e-13
3,6,"DenseLayer( 128,64 )","weights",9.2103676253169251,0.013448478614445942,0.0014601438470945643,0.0014644941009098076,0.0016482348502645605,0.0013266712416360048,0,6,9.9999999999999998e-13
3,6,"DenseLayer( 128,64 )","biases",0.022524587969239753,0.00087894158685330418,0.039183234288368909,0.039443458698670081,0.048347234314458941,0.033478199478252098,0,6,9.9999999999999998e-13
3,8,"DenseLayer( 64,1 )","all",1.4436910835350401,0.0012451216262042309,0.00086246226960597755,0.0008716223116215098,0.0010262957830903415,0.00085249119625751104,0,6,9.9999999999999998e-13
3,8,"DenseLayer( 64,1 )","weights",1.4436903644441721,0.0012400910465718462,0.00085897828218615751,0.00086790091870296365,0.0010192600574879817,0.00084879595053895826,0,6,9.9999999999999998e-13
3,8,"DenseLayer( 64,1 )","biases",0.0014370755525305867,0.00010774369972447555,0.076994508184726362,0.084288383599726041,0.1310760730954785,0.089104788127474355,0,6,9.9999999999999998e-13
4,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4192434631815183,0.0030557831054779092,0.00215298244065357,0.0021814826469193551,0.0025006834243083164,0.001516057060314118,0,6,9.9999999999999998e-13
4,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.4189561586567137,0.0029638335540774644,0.0020886143827647656,0.002116923824885803,0.0024255805165502493,0.00146083257047174,0,6,9.9999999999999998e-13
4,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.028525391334473162,0.00074329707756665684,0.026269263948940302,0.026682996410469898,0.0326372777562439,0.019016961322810597,0,6,9.9999999999999998e-13
4,4,"DenseLayer( 7202,128 )","all",16.417883636178701,0.079906865232790891,0.0048682361664195836,0.0049225775656986355,0.0061863693194852557,0.0038268652716107921,0,6,9.9999999999999998e-13
4,4,"DenseLayer( 7202,128 )","weights",16.417812823370568,0.079902508389450233,0.0048679916147435802,0.0049223321201541442,0.0061860665134266177,0.003826637876819436,0,6,9.9999999999999998e-13
4,4,"DenseLayer( 7202,128 )","biases",0.048208564762871449,0.00083388886643395764,0.017356281726115304,0.017550629248320088,0.022460692552565106,0.0143189432757192,0,6,9.9999999999999998e-13
4,6,"DenseLayer( 128,64 )","all",9.2094515362678511,0.0081244402246955991,0.00088218305149054504,0.00088822409415334274,0.0010340470777538302,0.00069798357504451255,0,6,9.9999999999999998e-13
4,6,"DenseLayer( 128,64 )","weights",9.209416777728789,0.0081066366225288605,0.00088025317545615774,0.00088628752400918634,0.0010317486834254322,0.00069628655383173141,0,6,9.9999999999999998e-13
4,6,"DenseLayer( 128,64 )","biases",0.025293735407400646,0.00053737211017406089,0.021300526541060114,0.021466700754469523,0.026143087728970282,0.017090987106019365,0,6,9.9999999999999998e-13
4,8,"DenseLayer( 64,1 )","all",1.4416320595633827,0.00081228274377117822,0.00056346204033490581,0.00057402283572189304,0.00069812333982729449,0.00055042941152579452,0,6,9.9999999999999998e-13
4,8,"DenseLayer( 64,1 )","weights",1.4416315243505746,0.00080763706843091062,0.00056023931007476786,0.00057054219025200301,0.00069276848906997177,0.00054667077040632865,0,6,9.9999999999999998e-13
4,8,"DenseLayer( 64,1 )","biases",0.001236051747885843,8.313891400272648e-05,0.066215335865210806,0.071965721314841205,0.1010591311834466,0.063419170587881463,0,6,9.9999999999999998e-13
5,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4180355751899021,0.001457607981997568,0.0010279038779023579,0.0010341366296243695,0.0012117438626594085,0.0011399037353039966,0,6,9.9999999999999998e-13
5,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.4176744591058423,0.0013893524187964027,0.000980020466843769,0.00098666850146190564,0.0011556313214394667,0.001105270981643227,0,6,9.9999999999999998e-13
5,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.031992051207308886,0.00043817678176172954,0.01373308099038666,0.013835342816921194,0.016777241371134163,0.012025468860402696,0,6,9.9999999999999998e-13
5,4,"DenseLayer( 7202,128 )","all",16.493287074454248,0.051803181934848057,0.0031412911185522622,0.0031787281003637837,0.0035462507708509273,0.0022628309682553981,0,6,9.9999999999999998e-13
5,4,"DenseLayer( 7202,128 )","weights",16.493207883972097,0.051798703276256561,0.0031410345659725683,0.0031784646987729438,0.0035459418528873453,0.0022627029238278897,0,6,9.9999999999999998e-13
5,4,"DenseLayer( 7202,128 )","biases",0.051107161646035293,0.00067949515685185042,0.013320412767714116,0.013620609481407255,0.015994853219850634,0.0079865965964512221,0,6,9.9999999999999998e-13
5,6,"DenseLayer( 128,64 )","all",9.209054869324623,0.0056704472814280591,0.00061574701741143637,0.00062485058338371594,0.00074442540693911733,0.00043054714449855606,0,6,9.9999999999999998e-13
5,6,"DenseLayer( 128,64 )","weights",9.2090148251720052,0.0056587912752629858,0.0006144839739908696,0.00062357728970003615,0.00074300886154741704,0.00042963043690103262,0,6,9.9999999999999998e-13
5,6,"DenseLayer( 128,64 )","biases",0.027154927501433911,0.00036323066895351658,0.013388939126810464,0.013555473282413022,0.015665102218885625,0.0093540695047819814,0,6,9.9999999999999998e-13
5,8,"DenseLayer( 64,1 )","all",1.4405679287285689,0.00056244045878465197,0.00039042752527177724,0.00039811333481459485,0.00049635855041322663,0.00026854139921783491,0,6,9.9999999999999998e-13
5,8,"DenseLayer( 64,1 )","weights",1.4405671490381877,0.00056054936781045964,0.00038911494460577438,0.00039669207768751975,0.00049381648090853348,0.00026784958153286826,0,6,9.9999999999999998e-13
5,8,"DenseLayer( 64,1 )","biases",0.0014968573814257979,4.4525639774898686e-05,0.029840833082158534,0.032447642766895511,0.048264339168792442,0.020266043855722646,0,6,9.9999999999999998e-13
6,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4171585185696913,0.0016752201914442041,0.0011820573860185988,0.0012071856504733398,0.0014432373345982148,0.00072314204782309886,0,6,9.9999999999999998e-13
6,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.4167425664453295,0.0016414149604027553,0.0011585420219499144,0.0011834217003667531,0.0014157115825118882,0.00070548264457268592,0,6,9.9999999999999998e-13
6,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.034327762589121957,0.00033421884742361918,0.0097699956538288297,0.009973766205697612,0.011950789741402634,0.0064405513719694692,0,6,9.9999999999999998e-13
6,4,"DenseLayer( 7202,128 )","all",16.538988190635468,0.029780082896956366,0.0018007108461028896,0.001812024418172476,0.0020005220734470338,0.0014379213149128321,0,6,9.9999999999999998e-13
6,4,"DenseLayer( 7202,128 )","weights",16.53890408860077,0.029778540451428928,0.0018006267251473331,0.001811939369154294,0.002000446481452802,0.0014378708049914788,0,6,9.9999999999999998e-13
6,4,"DenseLayer( 7202,128 )","biases",0.052742843351571492,0.00030202178580930264,0.0057300471718252678,0.0058009073451733189,0.0066516658969777726,0.0040131664851537482,0,6,9.9999999999999998e-13
6,6,"DenseLayer( 128,64 )","all",9.2088378651408753,0.0029384365965424864,0.00031908823064440649,0.00032385447374275644,0.00037853213619146208,0.00021555658043868168,0,6,9.9999999999999998e-13
6,6,"DenseLayer( 128,64 )","weights",9.2087946845945936,0.0029318716721272631,0.00031837682753645244,0.00032313573544638641,0.00037768743477447351,0.00021503845162955203,0,6,9.9999999999999998e-13
6,6,"DenseLayer( 128,64 )","biases",0.028199822406361031,0.00019622077085671243,0.0069632178891869904,0.0070577657532726714,0.0082777500712899413,0.0048276643561864828,0,6,9.9999999999999998e-13
6,8,"DenseLayer( 64,1 )","all",1.4396783313436514,0.00028932746531426854,0.00020096587810246024,0.00020637303767354726,0.00025928909437742634,0.00012990014375070707,0,6,9.9999999999999998e-13
6,8,"DenseLayer( 64,1 )","weights",1.4396776211818723,0.00028685413237300352,0.00019924795269623844,0.00020452794712813856,0.00025665230247167396,0.00012886399254471607,0,6,9.9999999999999998e-13
6,8,"DenseLayer( 64,1 )","biases",0.0014281080414851506,3.6797001181791224e-05,0.025775273684522797,0.027813199321728002,0.038162264100747391,0.015319930210417498,0,6,9.9999999999999998e-13
7,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4166370807310118,0.00045976023075555001,0.00032454253811086558,0.00032951079501123429,0.00045061442943245369,0.00028946469983256637,0,6,9.9999999999999998e-13
7,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.4161875649836433,0.00043898792439611462,0.00030997768995735982,0.00031493261568000559,0.00043245368515414052,0.00027943942329049524,0,6,9.9999999999999998e-13
7,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.035684262551654487,0.00013558935789249941,0.00380324838564255,0.0038680941898719514,0.005089953094145859,0.0029928908913164375,0,6,9.9999999999999998e-13
7,4,"DenseLayer( 7202,128 )","all",16.566863507469844,0.023947715910114145,0.0014455258479401576,0.0014483641980713681,0.0015547860730095843,0.0012921994132132995,0,6,9.9999999999999998e-13
7,4,"DenseLayer( 7202,128 )","weights",16.566776403653847,0.023946146323915087,0.0014454387077402625,0.0014482759954936987,0.0015546646117544471,0.0012921312523032731,0,6,9.9999999999999998e-13
7,4,"DenseLayer( 7202,128 )","biases",0.053721811303095252,0.00027259401684569457,0.0050733642048887964,0.0051361935218940348,0.0061845020628337683,0.0042737564766632714,0,6,9.9999999999999998e-13
7,6,"DenseLayer( 128,64 )","all",9.2087163211661007,0.0028332323989644225,0.00030766849547391297,0.00031336376520401136,0.00038616293272993995,0.0002556607081200943,0,6,9.9999999999999998e-13
7,6,"DenseLayer( 128,64 )","weights",9.2086711809315247,0.0028279674822073064,0.00030709826991588864,0.00031278383127977772,0.00038541433049757505,0.00025520879962063206,0,6,9.9999999999999998e-13
7,6,"DenseLayer( 128,64 )","biases",0.02883309364669288,0.00017257742564175999,0.0059838998119210139,0.0060912689086332732,0.0076728184632354982,0.0048286746307273148,0,6,9.9999999999999998e-13
7,8,"DenseLayer( 64,1 )","all",1.4391755378201809,0.00026157675667817185,0.00018175578361422009,0.00018772453187932816,0.00024739569745117789,0.00014345552840191626,0,6,9.9999999999999998e-13
7,8,"DenseLayer( 64,1 )","weights",1.4391747350040225,0.00026038728561629429,0.00018092937468402169,0.0001867932780573484,0.000245745803034886,0.00014303916019014332,0,6,9.9999999999999998e-13
7,8,"DenseLayer( 64,1 )","biases",0.0015194431180134416,2.4158119534452755e-05,0.015950644639614816,0.017752256300800434,0.027054650878118619,0.010882829242217465,0,6,9.9999999999999998e-13
8,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4165861998922011,0.00052571830777283217,0.00037111947771896795,0.0003869839911234153,0.00049992478906360342,0.00041532199879551853,0,6,9.9999999999999998e-13
8,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.416125196745649,0.00051620124934318487,0.00036452010135891563,0.00038129448154383932,0.00049458855093460383,0.00041119031714349606,0,6,9.9999999999999998e-13
8,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.036136800869413108,9.4446698278198782e-05,0.0026138701016174353,0.0026202305438910514,0.0028960085159570248,0.0023136323193946244,0,6,9.9999999999999998e-13
8,4,"DenseLayer( 7202,128 )","all",16.58415441283282,0.01776013388635389,0.001070914312886426,0.0010722751481725488,0.0011435263126569363,0.00097540756975643688,0,6,9.9999999999999998e-13
8,4,"DenseLayer( 7202,128 )","weights",16.584065558534064,0.017759098309080935,0.001070857608436937,0.0010722179499208161,0.0011434413761695558,0.00097536311728367629,0,6,9.9999999999999998e-13
8,4,"DenseLayer( 7202,128 )","biases",0.054287441310217635,0.00018967430999857434,0.0034932817023833034,0.003548068123851398,0.004405616623874114,0.0029995586696164008,0,6,9.9999999999999998e-13
8,6,"DenseLayer( 128,64 )","all",9.2089261887275864,0.0017533825790681874,0.00019040028717409618,0.00019361657521134662,0.00024356417111645107,0.00016236008029333251,0,6,9.9999999999999998e-13
8,6,"DenseLayer( 128,64 )","weights",9.208879817567853,0.0017495544829927083,0.00018998555047160199,0.00019319449792054799,0.00024303509706773022,0.00016215058981719764,0,6,9.9999999999999998e-13
8,6,"DenseLayer( 128,64 )","biases",0.029224069109773099,0.0001151133165664314,0.0039389612255355732,0.0040306227486940228,0.005056626636787789,0.0025914363300830663,0,6,9.9999999999999998e-13
8,8,"DenseLayer( 64,1 )","all",1.4389754165350617,0.00018961952568087253,0.00013177404253494326,0.00013700200016608782,0.00018028070965235923,8.1362450462139023e-05,0,6,9.9999999999999998e-13
8,8,"DenseLayer( 64,1 )","weights",1.4389746535290817,0.00018792221327465681,0.00013059457648950811,0.00013567963294077896,0.00017829867550150469,8.0777061171892831e-05,0,6,9.9999999999999998e-13
8,8,"DenseLayer( 64,1 )","biases",0.0014810501015745103,2.4158488182971876e-05,0.016273396550200273,0.018417322097947018,0.02578469766107308,0.0089890247189595481,0,6,9.9999999999999998e-13
9,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4163841806881585,0.00033230357184599584,0.00023461372642329044,0.00023575730699044192,0.00028603389994735919,0.00022899805622948483,0,6,9.9999999999999998e-13
9,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.415913338968021,0.00032730638767500405,0.00023116242943015025,0.00023231452463502622,0.00028243051389245281,0.00022508885217958633,0,6,9.9999999999999998e-13
9,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.036517969014891891,5.733873429347839e-05,0.0015702376779093796,0.0015743999307245538,0.0017819100152795218,0.0016480131319655481,0,6,9.9999999999999998e-13
9,4,"DenseLayer( 7202,128 )","all",16.59472186857931,0.015242660517425524,0.00091852599246118843,0.00091915625914383364,0.00096417986321886608,0.00087980974333103762,0,6,9.9999999999999998e-13
9,4,"DenseLayer( 7202,128 )","weights",16.59463194368859,0.015242150767435484,0.00091850025225106622,0.00091913032640382952,0.00096414562448255195,0.00087978876198519841,0,6,9.9999999999999998e-13
9,4,"DenseLayer( 7202,128 )","biases",0.05463098955556922,0.00012398737233466911,0.0022694617133242542,0.0022897295468605264,0.0026723427908286503,0.0020419977896925126,0,6,9.9999999999999998e-13
9,6,"DenseLayer( 128,64 )","all",9.2088916778162346,0.0015661125951085672,0.00017006532176778782,0.00017470046670582177,0.00021540862158777612,0.00011553382789678652,0,6,9.9999999999999998e-13
9,6,"DenseLayer( 128,64 )","weights",9.2088444538086804,0.001562953218596157,0.00016972311288713992,0.00017433887570121893,0.00021492293916286311,0.00011534963974084295,0,6,9.9999999999999998e-13
9,6,"DenseLayer( 128,64 )","biases",0.029491624089307177,9.9172282252674444e-05,0.0033630715861883661,0.0035129637124162449,0.0045217906981183335,0.0020337937019417295,0,6,9.9999999999999998e-13
9,8,"DenseLayer( 64,1 )","all",1.4388052449244833,0.00015321557125335335,0.00010648783028339331,0.00011600210964137124,0.00015299506586406763,3.7756439099228829e-05,0,6,9.9999999999999998e-13
9,8,"DenseLayer( 64,1 )","weights",1.4388044376093885,0.00015204317277896668,0.00010567304808592174,0.00011504740537098084,0.00015162627794152551,3.7655447886378807e-05,0,6,9.9999999999999998e-13
9,8,"DenseLayer( 64,1 )","biases",0.0015236459051569302,1.8554953082154196e-05,0.012131097046946164,0.013941590522942564,0.019073059005642039,0.0027082657127050136,0,6,9.9999999999999998e-13
10,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","all",1.4163936358383948,0.0003124538250974194,0.00022059819500613298,0.00022091403682938774,0.00023735163695341922,0.00020483126285185838,0,6,9.9999999999999998e-13
10,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","weights",1.4159228951070839,0.00030769552630816797,0.00021731097136230528,0.00021757415867840624,0.00023301752934787944,0.00020350918604965864,0,6,9.9999999999999998e-13
10,0,"Conv2DLayer(1,8,5, stride=5, padding=0)","biases",0.036514193765868751,5.3543799291765301e-05,0.0014662278567028242,0.0015000217811063155,0.0017665798332123714,0.00092455884818763419,0,6,9.9999999999999998e-13
10,4,"DenseLayer( 7202,128 )","all",16.601734772089735,0.014128062927742555,0.00085100168880874463,0.00085182012867783888,0.00089621330612535985,0.00077738282908728815,0,6,9.9999999999999998e-13
10,4,"DenseLayer( 7202,128 )","weights",16.601644284878915,0.014127612493234784,0.00085097919470432696,0.00085179740115920173,0.00089618350909998455,0.00077737145733105216,0,6,9.9999999999999998e-13
10,4,"DenseLayer( 7202,128 )","biases",0.054813139562837579,0.0001122842337066372,0.0020486186158274952,0.0020683896158182045,0.0023882280366222049,0.0014912331662864332,0,6,9.9999999999999998e-13
10,6,"DenseLayer( 128,64 )","all",9.2089886468361222,0.0012825234459386955,0.00013926862855428049,0.00014008192032691335,0.00015767452726127558,0.00013613644223001422,0,6,9.9999999999999998e-13
10,6,"DenseLayer( 128,64 )","weights",9.2089408740707608,0.0012796812074172259,0.00013896071214318306,0.00013977234685922231,0.00015735679309636678,0.00013592886238890885,0,6,9.9999999999999998e-13
