epoch,train_objective,validation_physical_mse,samples,batches,configured_learning_rate,effective_learning_rate
1,0.7335965594057976,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
2,0.059696775457444076,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
3,0.031735885438067844,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
4,0.025818678885679198,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
5,0.022491940261178352,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
6,0.020484472660028872,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
7,0.019543599119952907,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
8,0.018970197863467028,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
9,0.018523141962678846,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
10,0.018252769139014104,0.0067592373677432789,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
11,0.017807010426418111,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
12,0.017734074266839869,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
13,0.017495963649479144,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
14,0.017403419042903576,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
15,0.017342130001591873,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
16,0.01730339074083332,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
17,0.017110044401042149,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
18,0.01719673020680423,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
19,0.017087940432481387,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
20,0.016991869717951944,0.0063578653279292921,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
21,0.016808535578865882,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
22,0.016957677352784098,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
23,0.016853982698014917,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
24,0.01675811492010312,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
25,0.016770079797435465,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
26,0.016840816769519509,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
27,0.016698377266425101,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
28,0.016756188564927037,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
29,0.016728014202520163,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
30,0.016706887308684904,0.0064118361645264894,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
31,0.016683781099502325,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
32,0.016586796751385108,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
33,0.01673050716410588,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
34,0.016541067660037583,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
35,0.016584603559802777,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
36,0.016527160627250799,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
37,0.016613122953382835,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
38,0.016460148405613391,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
39,0.016612080796992973,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
40,0.016511077776057436,0.0061972186984873079,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
41,0.016276710746741009,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
42,0.016410472232072884,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
43,0.016439542520016323,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
44,0.016394123781759661,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
45,0.016314552791958783,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
46,0.016313807333365592,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
47,0.016226566947034702,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
48,0.016289201304214553,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
49,0.016159447901295906,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
50,0.016288932301073266,0.0061976287793557424,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
51,0.016387469583296347,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
52,0.016132217328349657,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
53,0.016432539251394845,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
54,0.01625464872140981,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
55,0.016235754230309509,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
56,0.016135940757670601,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
57,0.016017961177599353,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
58,0.016227921529377329,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
59,0.01613440240876083,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
60,0.016124913479366346,0.0062802527584200126,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
61,0.016307959598862994,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
62,0.016075943320960719,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
63,0.015886317328535581,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
64,0.016144497279629254,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
65,0.015801484519692245,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
66,0.015885599096812118,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
67,0.015906492382028594,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
68,0.016217589279106499,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
69,0.016058471199124201,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
70,0.015797423595087994,0.0059623733446236594,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
71,0.015907902151336011,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
72,0.015698891807017515,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
73,0.015956770113149291,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
74,0.015832188243362296,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
75,0.015637472461795188,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
76,0.015672644968722425,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
77,0.015629389299543738,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
78,0.015526012060499387,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
79,0.015667339610054846,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
80,0.015594395357608853,0.0057382445203769611,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
81,0.015516120820483838,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
82,0.015629081397969955,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
83,0.015601175821052327,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
84,0.015666971657676689,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
85,0.015759760802337666,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
86,0.015490965019704614,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
87,0.015386489050693973,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
88,0.015430762468507712,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
89,0.01573280765149546,,1370,22,9.9999997473787516e-06,9.9999997473787516e-06
