candidate_index,candidate_name,success,fold,training_objective,validation_physical_mse,training_samples,validation_samples,mean_validation_physical_mse,validation_stddev,error
0,"phys [physics-weight=0]",1,0,0.010961377615380793,0.0036515283821698667,1370,343,0.0056006340932751768,0.0010990910105786646,""
0,"phys [physics-weight=0]",1,1,0.010544413853856058,0.0051089237726836293,1370,343,0.0056006340932751768,0.0010990910105786646,""
0,"phys [physics-weight=0]",1,2,0.010179823889764879,0.006444003059783405,1370,343,0.0056006340932751768,0.0010990910105786646,""
0,"phys [physics-weight=0]",1,3,0.010572804603232117,0.0064267182246044684,1371,342,0.0056006340932751768,0.0010990910105786646,""
0,"phys [physics-weight=0]",1,4,0.0099187889898027723,0.0063766679249859445,1371,342,0.0056006340932751768,0.0010990910105786646,""
1,"phys [physics-weight=0.05]",1,0,0.011382874156052377,0.0036086482212727474,1370,343,0.005637646613758044,0.0011362463421833219,""
1,"phys [physics-weight=0.05]",1,1,0.010913945176063172,0.0051612326696193036,1370,343,0.005637646613758044,0.0011362463421833219,""
1,"phys [physics-weight=0.05]",1,2,0.010555451900918807,0.0065023452735385682,1370,343,0.005637646613758044,0.0011362463421833219,""
1,"phys [physics-weight=0.05]",1,3,0.011064406934232987,0.0065167692051439725,1371,342,0.005637646613758044,0.0011362463421833219,""
1,"phys [physics-weight=0.05]",1,4,0.010393863697098353,0.0064040351076274536,1371,342,0.005637646613758044,0.0011362463421833219,""
2,"phys [physics-weight=0.1]",1,0,0.01184953029450876,0.0036300566675453367,1370,343,0.0056291000451541267,0.0011161105224378209,""
2,"phys [physics-weight=0.1]",1,1,0.011328187583196109,0.0051731684929170168,1370,343,0.0056291000451541267,0.0011161105224378209,""
2,"phys [physics-weight=0.1]",1,2,0.010826134658280511,0.0065014261842961177,1370,343,0.0056291000451541267,0.0011161105224378209,""
2,"phys [physics-weight=0.1]",1,3,0.011276001399827255,0.0064327144254743788,1371,342,0.0056291000451541267,0.0011161105224378209,""
2,"phys [physics-weight=0.1]",1,4,0.010655334320552457,0.0064127620835807775,1371,342,0.0056291000451541267,0.0011161105224378209,""
3,"phys [physics-weight=0.25]",1,0,0.01282719993368165,0.0035798887576526553,1370,343,0.0057066613312387196,0.0011959442396939565,""
3,"phys [physics-weight=0.25]",1,1,0.012227077473964169,0.0051856493823834171,1370,343,0.0057066613312387196,0.0011959442396939565,""
3,"phys [physics-weight=0.25]",1,2,0.011774659215522136,0.0066511666460672336,1370,343,0.0057066613312387196,0.0011959442396939565,""
3,"phys [physics-weight=0.25]",1,3,0.012155789695455122,0.0065886388362240067,1371,342,0.0057066613312387196,0.0011959442396939565,""
3,"phys [physics-weight=0.25]",1,4,0.011466447919567083,0.0065329433824265586,1371,342,0.0057066613312387196,0.0011959442396939565,""
4,"phys [physics-weight=0.5]",1,0,0.01428486435683903,0.0038644673430724692,1370,343,0.0060259178720154022,0.0011935694292900907,""
4,"phys [physics-weight=0.5]",1,1,0.013781497626073393,0.0056010656562303657,1370,343,0.0060259178720154022,0.0011935694292900907,""
4,"phys [physics-weight=0.5]",1,2,0.012896046093852007,0.0069493216702359636,1370,343,0.0060259178720154022,0.0011935694292900907,""
4,"phys [physics-weight=0.5]",1,3,0.013332586767923638,0.0069672669544496258,1371,342,0.0060259178720154022,0.0011935694292900907,""
4,"phys [physics-weight=0.5]",1,4,0.012779665544473622,0.0067523300137099533,1371,342,0.0060259178720154022,0.0011935694292900907,""
5,"phys [physics-weight=1]",1,0,0.016066212888182919,0.0043092795706270249,1370,343,0.0065815117596066874,0.00135079046702218,""
5,"phys [physics-weight=1]",1,1,0.015379873389738483,0.0057613859249492951,1370,343,0.0065815117596066874,0.00135079046702218,""
5,"phys [physics-weight=1]",1,2,0.014768831378883974,0.007708950020953587,1370,343,0.0065815117596066874,0.00135079046702218,""
5,"phys [physics-weight=1]",1,3,0.014791804730598723,0.007753762630670403,1371,342,0.0065815117596066874,0.00135079046702218,""
5,"phys [physics-weight=1]",1,4,0.014429625737488292,0.007379926030255027,1371,342,0.0065815117596066874,0.00135079046702218,""
6,"phys [physics-weight=2]",1,0,0.017775607183867465,0.0048755739931184826,1370,343,0.0074069980689616009,0.0015193296741354274,""
6,"phys [physics-weight=2]",1,1,0.017293070970837324,0.0065024946466481345,1370,343,0.0074069980689616009,0.0015193296741354274,""
6,"phys [physics-weight=2]",1,2,0.016528483545475633,0.0086253280643354933,1370,343,0.0074069980689616009,0.0015193296741354274,""
6,"phys [physics-weight=2]",1,3,0.016411241410854028,0.0089390154811984472,1371,342,0.0074069980689616009,0.0015193296741354274,""
6,"phys [physics-weight=2]",1,4,0.016205011736773113,0.0080990623627319579,1371,342,0.0074069980689616009,0.0015193296741354274,""
